"","CNT","SUBNATIO","STRATUM","SCHOOLID","NC","OECD","Autonomy","Tch_Participation","Tch_Short","Edu_Resource","StIDStd","SES","Anxiety_Math","Age","Gender","Efficacy","Persev","Openness","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","Income","Percepted_Quality","Par_Support"
"1","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00001",-1.48,NA,15.92,2,-0.77,-0.1475,-0.5433,513.4834,518.157,447.2737,520.4938,515.0413,2,-0.8397,-0.6372
"2","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00002",-1.17,NA,15.58,2,1.07,0.2586,0.4639,496.6584,478.7428,534.8263,492.7637,540.2789,4,-0.0994,NA
"3","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00003",-0.11,0.32,15.58,2,-0.92,-0.3407,-0.5433,288.6041,364.94,336.1193,321.3195,280.0358,2,0.6338,0.0131
"4","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00004",-1.93,NA,16.25,2,-0.92,-1.1279,-1.158,484.3511,538.8768,488.2458,517.0665,540.4346,2,-0.8397,-2.257
"5","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00005",0.46,NA,16.17,2,2.27,-0.1475,-0.5433,536.2284,538.5652,561.1544,561.1544,582.1857,5,-0.536,0.4764
"6","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00006",0.43,-2.37,15.67,2,NA,NA,NA,516.5992,556.325,516.5992,527.5043,494.01,4,0.6338,-1.6804
"7","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00007",-1.53,NA,15.67,1,-1.36,0.0511,-1.158,360.578,376.9357,369.1463,351.2307,363.6937,3,-1.1695,-0.3004
"8","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00008",-1.3,0.06,15.58,2,-0.02,0.0511,-0.5433,482.4038,473.0566,466.0461,490.9721,497.9826,6,-1.2871,-0.3004
"9","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00009",-1.7,NA,15.75,2,-0.63,0.7205,1.6493,519.9486,556.5587,499.6962,498.1383,490.349,1,-0.8397,-0.9916
"10","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00010",-0.74,1.26,16,1,-0.33,-0.5316,0.4639,402.1732,392.047,414.6362,398.2785,381.1419,6,1.1275,0.8345
"11","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00011",-2.73,1.53,15.83,1,-2.57,-1.6047,-3.6333,329.9657,324.5132,350.997,309.7134,291.0189,1,-0.536,-2.1124
"12","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00012",-2.08,NA,15.58,1,-3.75,-0.7236,-1.5946,266.6381,286.8905,279.1011,293.9009,289.2273,1,-1.0793,-1.3492
"13","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00013",-1.24,1.53,15.58,2,-0.63,0.4795,-0.5433,421.5688,361.5906,346.0118,405.2111,385.7377,2,-1.4771,0.318
"14","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00014",-2.06,0.06,15.67,2,0.15,-0.3407,-0.9492,357.6959,357.6959,416.8952,347.5697,359.2538,4,-0.536,-0.813
"15","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00015",-0.82,-0.2,15.33,1,NA,NA,NA,433.1749,363.0706,380.9861,364.6284,374.7546,2,-0.0994,-0.9916
"16","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00016",-1.12,0.79,16.25,2,NA,NA,NA,255.0319,194.2748,203.6221,167.012,276.0632,1,0.6338,0.318
"17","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00017",-1.63,-0.2,15.33,2,-0.92,-0.3407,-1.5946,490.6605,488.3237,492.2184,464.1767,478.9765,1,0.3309,-1.6804
"18","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00018",-0.8,0.32,15.75,1,-0.48,0.0511,-0.5075,543.9399,523.6875,504.2141,532.2558,497.2036,3,-0.536,-2.8768
"19","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00019",-2.16,0.06,15.67,1,-0.92,-0.1475,-1.5946,494.1658,406.9248,444.3138,475.4713,482.4817,2,-0.536,-1.6804
"20","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00020",-0.95,0.06,15.92,2,NA,NA,NA,627.9872,630.324,656.029,642.0081,620.9768,2,-1.0793,-0.6372
"21","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00021",-0.17,NA,15.58,2,-1.21,-0.3407,-0.3443,316.4122,357.6959,356.138,333.5488,333.5488,2,1.3879,0.646
"22","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00022",-1.6,0.32,15.42,1,-1.21,-0.3407,-0.5433,344.9213,397.8891,410.3521,403.3416,425.9308,1,0.3309,-1.6804
"23","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00023",-1.13,-0.47,15.42,2,NA,NA,NA,470.7197,431.7729,440.3412,412.2994,512.0034,2,-0.0994,0.165
"24","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00024",-0.34,1.02,15.5,1,NA,NA,NA,287.9031,283.2295,263.756,262.1982,220.1355,3,NA,1.3249
"25","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00025",-1.71,NA,15.58,2,-3.75,-0.3407,-0.5433,352.3212,379.584,349.9844,300.1324,345.3108,2,-0.0994,1.3249
"26","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00026",-1.07,-0.47,15.42,1,NA,NA,NA,369.9252,355.9043,355.9043,380.8303,383.9461,1,-0.536,-0.3004
"27","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00027",-1.28,0.06,15.92,1,NA,NA,NA,520.9612,515.5086,530.3085,558.3502,519.4033,2,-1.0793,-0.9916
"28","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00028",-1.6,NA,15.67,1,-1.06,-0.7236,0.688,283.6189,214.2935,301.5345,356.8391,291.4083,1,-1.0793,1.0539
"29","HKG","3440000","HKG0004","0000001","034400",0,1.6038,1.2429,0.7093,-0.1702,"00029",-2.88,0.06,16.08,2,-0.92,-0.7236,-1.158,515.1971,473.1344,445.8716,473.1344,491.8289,3,-0.536,-0.9916
